,mission_name,date_utc,mass_kg,orbit,average_temp,average_wind_speed,average_humidity,success
0,FalconSat,2006-03-24 22:30:00+00:00,20.0,LEO,,,,False
1,DemoSat,2007-03-21 01:10:00+00:00,,LEO,,,,False
2,Trailblazer,2008-08-03 03:34:00+00:00,,LEO,,,,False
22,TürkmenÄlem 52°E / MonacoSAT,2015-04-27 23:03:00+00:00,4707.0,GTO,27.945833333333336,7.629166666666666,14.458333333333334,True
23,CRS-7,2015-06-28 14:21:00+00:00,2477.0,ISS,,,,False
30,ABS-2A / Eutelsat 117W B,2016-06-15 14:29:00+00:00,1800.0,GTO,35.87083333333333,22.383333333333336,36.541666666666664,True
33,Amos-6,2016-09-01 13:07:00+00:00,5500.0,GTO,35.375,14.833333333333334,16.125,False
41,BulgariaSat-1,2017-06-23 19:10:00+00:00,3669.0,GTO,34.137499999999996,21.279166666666665,15.791666666666666,True
